表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,
公開日：,2022年6月21日,,,,,,,
,,,,,,,,
***,調査又は集計していないもの,,,,,,,
-,データが得られないもの,,,,,,,
X,数値が秘匿されているもの,,,,,,,
,,,,,,,,
,,,,/項目 コード,C120110,,C120120,
調査年 コード,調査年,地域 コード,地域,/項目,C120110_課税対象所得【千円】,注釈,C120120_納税義務者数（所得割）【人】,注釈
2015100000,2015年度,1100,北海道 札幌市,,2535322425,,834364,
2015100000,2015年度,1202,北海道 函館市,,295671670,,108641,
2015100000,2015年度,1203,北海道 小樽市,,119533070,,48037,
2015100000,2015年度,1204,北海道 旭川市,,380049303,,139822,
2015100000,2015年度,1205,北海道 室蘭市,,102184822,,36100,
2015100000,2015年度,1206,北海道 釧路市,,194546841,,72497,
2015100000,2015年度,1207,北海道 帯広市,,211286467,,73918,
2015100000,2015年度,1208,北海道 北見市,,140845591,,51030,
2015100000,2015年度,1209,北海道 夕張市,,7377411,,3427,
2015100000,2015年度,1210,北海道 岩見沢市,,88659463,,33804,
2015100000,2015年度,1211,北海道 網走市,,49028049,,16647,
2015100000,2015年度,1212,北海道 留萌市,,26011985,,9640,
2015100000,2015年度,1213,北海道 苫小牧市,,207737625,,74461,
2015100000,2015年度,1214,北海道 稚内市,,48370984,,16366,
2015100000,2015年度,1215,北海道 美唄市,,21223629,,8641,
2015100000,2015年度,1216,北海道 芦別市,,12220693,,5397,
2015100000,2015年度,1217,北海道 江別市,,131552749,,48201,
2015100000,2015年度,1218,北海道 赤平市,,9187761,,4044,
2015100000,2015年度,1219,北海道 紋別市,,28995631,,10082,
2015100000,2015年度,1220,北海道 士別市,,21016615,,7652,
2015100000,2015年度,1221,北海道 名寄市,,33684347,,12042,
2015100000,2015年度,1222,北海道 三笠市,,7328284,,3276,
2015100000,2015年度,1223,北海道 根室市,,32655021,,11370,
2015100000,2015年度,1224,北海道 千歳市,,122728540,,42816,
2015100000,2015年度,1225,北海道 滝川市,,44218294,,16837,
2015100000,2015年度,1226,北海道 砂川市,,18825141,,7061,
2015100000,2015年度,1227,北海道 歌志内市,,2832159,,1334,
2015100000,2015年度,1228,北海道 深川市,,21509901,,8411,
2015100000,2015年度,1229,北海道 富良野市,,25462082,,9413,
2015100000,2015年度,1230,北海道 登別市,,52387142,,20641,
2015100000,2015年度,1231,北海道 恵庭市,,79994619,,28950,
2015100000,2015年度,1233,北海道 伊達市,,37235890,,14171,
2015100000,2015年度,1234,北海道 北広島市,,68025106,,24406,
2015100000,2015年度,1235,北海道 石狩市,,58499547,,23001,
2015100000,2015年度,1236,北海道 北斗市,,46480246,,18718,
2015100000,2015年度,1303,北海道 当別町,,17496138,,6626,
2015100000,2015年度,1304,北海道 新篠津村,,3015669,,1245,
2015100000,2015年度,1331,北海道 松前町,,6794569,,2441,
2015100000,2015年度,1332,北海道 福島町,,3766918,,1372,
2015100000,2015年度,1333,北海道 知内町,,4232260,,1766,
